lake,name,DOY,year,Canthaxanthin_surface,SS,temp_surface,TDN_ug_L,TDP_ug_L
L,Last Mountain,145,2007,0,2.6810217,10.5,960,19
L,Last Mountain,146,2004,0,2.413425195,8.300000191,1014.65,29.2
L,Last Mountain,146,2006,0.069804881,30.40144532,13,951.76,21.555
L,Last Mountain,146,2012,0.188478546,6.51519869,11,956,22
L,Last Mountain,147,2011,0,29.08705801,11.9,1000,46
L,Last Mountain,148,2010,0.081025153,7.783285336,9.9,1150,45
L,Last Mountain,148,2016,0.00411,34.19741314,13.8,1480,147
L,Last Mountain,149,2009,0.03656895,15.70221223,8.6,1110,25
L,Last Mountain,150,2003,0,4.131413851,13.1,991.6,33
L,Last Mountain,150,2005,0,28.66731202,11.9,846.01,19.9
L,Last Mountain,150,2014,0,13.05220082,10.2,1060,81
L,Last Mountain,151,2002,0.030362043,70.27586838,12,1509.9,57
L,Last Mountain,151,2008,0,34.64069749,13.1,936,20.2
L,Last Mountain,155,1996,0.015986545,50.91382614,12,NA,NA
L,Last Mountain,158,2013,0,34.40737197,12.6,974,52
L,Last Mountain,159,2004,0,33.48161013,12.69999981,942.98,23.2
L,Last Mountain,159,2007,0,9.295617683,13.7,905,17
L,Last Mountain,160,2012,0.082905552,45.88722463,15.5,943,24
L,Last Mountain,161,2005,0.077932864,51.16911536,13.3,991.93,17.7
L,Last Mountain,161,2011,0,105.5942851,15.2,885,25
L,Last Mountain,162,2010,0.04853216,34.09408985,12.5,971,16
L,Last Mountain,163,2002,0.051695141,7.508517466,10.5,1069.2,25
L,Last Mountain,163,2006,0,7.174461331,14.3,943,32.414
L,Last Mountain,163,2009,0.04151719,85.41760061,15,986,28
