"lake","date","year","DOY","microcystin"
"P","2007-05-08",2007,128,0.08
"P","2007-05-23",2007,143,0.08
"P","2007-06-06",2007,157,0.08
"P","2007-06-19",2007,170,0.08
"P","2007-07-06",2007,187,0.173707073
"P","2007-07-17",2007,198,0.769374702
"P","2007-07-31",2007,212,1.504203631
"P","2007-08-14",2007,226,0.868947169
"P","2007-08-21",2007,233,0.229279416
"P","2008-05-13",2008,134,0.08
"P","2008-05-27",2008,148,0.08
"P","2008-06-10",2008,162,0.08
"P","2008-06-24",2008,176,0.08
"P","2008-07-08",2008,190,0.08
"P","2008-07-22",2008,204,0.184700152
"P","2008-08-06",2008,219,0.856517864
"P","2008-08-19",2008,232,2.392881403
"P","2009-05-12",2009,132,0.08
"P","2009-05-26",2009,146,0.08
"P","2009-06-09",2009,160,0.08
"P","2009-07-07",2009,188,0.08
"P","2009-07-21",2009,202,0.19480304
"P","2009-08-05",2009,217,0.782777521
"P","2009-08-18",2009,230,3.207677494
"P","2010-05-11",2010,131,0.08
"P","2010-05-26",2010,146,0.08
"P","2010-06-08",2010,159,0.08
"P","2010-06-22",2010,173,0.08
"P","2010-07-06",2010,187,0.08
"P","2010-07-20",2010,201,0.246494619
"P","2010-08-04",2010,216,0.272218578
"P","2010-08-17",2010,229,0.180675975
"P","2010-08-31",2010,243,0.374552243
"P","2011-05-10",2011,130,0.08
"P","2011-05-25",2011,145,0.08
"P","2011-06-07",2011,158,0.08
"P","2011-06-21",2011,172,0.08
"P","2011-07-05",2011,186,0.194116871
"P","2011-07-19",2011,200,0.08
"P","2011-08-03",2011,215,0.830079198
"P","2011-08-16",2011,228,0.232985856
"P","2011-08-30",2011,242,1.860774906
"P","2012-05-08",2012,129,0.08
"P","2012-05-23",2012,144,0.175982332
"P","2012-06-05",2012,157,0.08
"P","2012-06-19",2012,171,0.08
"P","2012-07-04",2012,186,0.358892981
"P","2012-07-17",2012,199,0.805441364
"P","2012-07-31",2012,213,3.218461428
"P","2012-08-14",2012,227,1.229259328
"P","2013-05-22",2013,142,0.08
"P","2013-06-04",2013,155,0.08
"P","2013-06-18",2013,169,0.187617443
"P","2013-07-03",2013,184,0.183152208
"P","2013-07-16",2013,197,2.519857183
"P","2013-07-30",2013,211,2.169349391
"P","2013-08-13",2013,225,3.985551664
"P","2013-08-27",2013,239,5.025821359
"P","2014-05-13",2014,133,0.08
"P","2014-05-27",2014,147,0.08
"P","2014-06-24",2014,175,0.08
"P","2014-07-08",2014,189,0.08
"P","2014-07-22",2014,203,0.08
"P","2014-08-06",2014,218,0.08
"P","2014-08-19",2014,231,0.799560985
"P","2015-05-12",2015,132,0.173379434
"P","2015-05-26",2015,146,0.08
"P","2015-06-09",2015,160,0.08
"P","2015-06-23",2015,174,0.170608153
"P","2015-07-07",2015,188,0.298128769
"P","2015-07-21",2015,202,0.325596525
"P","2015-08-05",2015,217,0.340842311
"P","2015-08-18",2015,230,0.653518216
"P","2016-05-25",2016,146,0.08
"P","2016-06-07",2016,159,0.08
"P","2016-06-21",2016,173,0.08
"P","2016-07-05",2016,187,16.15256788
"P","2016-07-19",2016,201,2.085292951
"P","2016-08-09",2016,222,14.46927856
"P","2016-08-16",2016,229,20.06238892
"P","2016-08-30",2016,243,1.508283913
"WW","2007-05-28",2007,148,0.08
"WW","2007-06-11",2007,162,0.08
"WW","2007-06-25",2007,176,1.566480968
"WW","2007-07-09",2007,190,0.30134088
"WW","2007-07-23",2007,204,0.845159381
"WW","2007-08-07",2007,219,0.359768417
"WW","2007-08-20",2007,232,2.411223629
"WW","2008-05-05",2008,126,0.08
"WW","2008-05-20",2008,141,0.08
"WW","2008-06-02",2008,154,0.08
"WW","2008-06-16",2008,168,2.328060444
"WW","2008-06-30",2008,182,0.08
"WW","2008-07-14",2008,196,0.190368432
"WW","2008-07-28",2008,210,0.682385644
"WW","2008-08-11",2008,224,1.448756204
"WW","2008-08-25",2008,238,2.195043898
"WW","2009-05-04",2009,124,0.08
"WW","2009-05-19",2009,139,0.08
"WW","2009-06-01",2009,152,0.08
"WW","2009-06-15",2009,166,0.08
"WW","2009-06-29",2009,180,0.08
"WW","2009-07-13",2009,194,0.08
"WW","2009-07-27",2009,208,0.236301578
"WW","2009-08-10",2009,222,0.664546462
"WW","2009-08-24",2009,236,0.169979676
"WW","2010-05-03",2010,123,0.08
"WW","2010-05-17",2010,137,0.08
"WW","2010-05-31",2010,151,0.08
"WW","2010-06-14",2010,165,0.08
"WW","2010-06-28",2010,179,0.08
"WW","2010-07-12",2010,193,0.08
"WW","2010-07-26",2010,207,0.08
"WW","2010-08-09",2010,221,0.176414103
"WW","2010-08-23",2010,235,0.193473504
"WW","2011-05-02",2011,122,0.164674532
